종목코드,종목명,종가,대비,등락률,상장시가총액
"001040","CJ","129900","1200","0.93","3790092.0"
"002380","KCC","409500","18500","4.73","3518791.0"
"004020","현대제철","25300","50","0.20","3376178.0"
"010060","OCI홀딩스","195800","-3900","-1.95","3655631.0"
"088350","한화생명","4365","50","1.16","3791133.0"
"251270","넷마블","35000","100","0.29","2867710.0"
"383220","F&F","75300","900","1.21","2884523.0"
"483650","달바글로벌","237500","20500","9.45","2965108.0"
"035250","강원랜드","14120","-140","-0.98","3020840.0"
"011780","금호석유화학","118100","1000","0.85","2971080.0"
"052690","한전기술","87700","700","0.80","3351894.0"
"069960","현대백화점","139300","2900","2.13","3003992.0"
"139130","iM금융지주","18170","270","1.51","2877463.0"
"001450","현대해상","37200","500","1.36","3171235.0"
"036460","한국가스공사","32150","450","1.42","2967863.0"
"302440","SK바이오사이언스","33200","-750","-2.21","2604758.0"
"450080","에코프로머티","33300","-100","-0.30","2358102.0"
"026960","동서","24900","-50","-0.20","2482530.0"
"028670","팬오션","5020","-20","-0.40","2683539.0"
"081660","미스토홀딩스","46000","-1800","-3.77","2442225.0"
"097950","CJ제일제당","186900","2700","1.47","2813627.0"
"161890","한국콜마","102500","3000","3.02","2419520.0"
"000240","한국앤컴퍼니","25300","600","2.43","2401862.0"
"005850","에스엘","52900","1500","2.92","2457127.0"
"009420","한올바이오파마","48000","-1250","-2.54","2507551.0"
"009970","영원무역홀딩스","190500","3100","1.65","2467702.0"
"011170","롯데케미칼","56500","-1100","-1.91","2416811.0"
"012750","에스원","70200","-800","-1.13","2667542.0"
"014680","한솔케미칼","232000","-12000","-4.92","2554993.0"
"017800","현대엘리베이터","67000","600","0.90","2619190.0"
"022100","포스코DX","17590","80","0.46","2674291.0"
"204320","HL만도","43500","1450","3.45","2042635.0"
"282330","BGF리테일","124200","1300","1.06","2146661.0"
"008930","한미사이언스","32950","450","1.38","2253502.0"
"008770","호텔신라","46050","1100","2.45","1807376.0"
"007340","DN오토모티브","36750","-1900","-4.92","2150274.0"
"007070","GS리테일","25800","-50","-0.19","2157071.0"
"004990","롯데지주","22300","50","0.22","2222502.0"
"004370","농심","349500","500","0.14","2125883.0"
"002790","아모레퍼시픽홀딩스","24200","-150","-0.62","1850288.0"
"192820","코스맥스","172700","-900","-0.52","1960060.0"
"139480","이마트","80100","4600","6.09","2210425.0"
"071970","HD현대마린엔진","58300","5400","10.21","1977623.0"
"051600","한전KPS","42650","50","0.12","1919250.0"
"375500","DL이앤씨","58800","900","1.55","2275185.0"
"030000","제일기획","18500","-120","-0.64","2128263.0"
"120110","코오롱인더","49500","-2100","-4.07","1482329.0"
"112610","씨에스윈드","38900","-100","-0.26","1640468.0"
"103140","풍산","60100","100","0.17","1684259.0"
"073240","금호타이어","6120","20","0.33","1758033.0"
"001800","오리온홀딩스","25200","-150","-0.59","1515948.0"
